,id,corpusName,corpusAcronym,corpusAcronym_comments,corpusLink,corpusLanguage,corpusLanguage_comments,corpusTextCount,"corpusTextCount 
(=Docs in Corpus)_comments",corpusWordCount,"corpusWordCount 
(words in corpus)_comments
[Vera Maria Charvat:
actually: We did not differentiate between words (sometimes not clear if duplicates are included or not) and tokens (all words, including duplicates)]",corpusTimespan,corpusTimespan_comments,corpusFormat/Schema,corpusFormat/Schema_consolidatedVocab,corpusFormat/Schema_comments,corpusAnnotation,corpusAnnotation_consolidatedVocab,corpusLiteraryGenre,corpusLiteraryGenre_consolidatedVocab,corpusLiteraryGenre_comments,corpusType,corpusType_consolidatedVocab,corpusAPI,corpusAPI_comments,corpusLicence,corpusLicence_consolidatedVocab,corpusLicence_comments,corpusReview,additionalLink,additionalLink_comments,additionalInfo / commentary,sourceOfInformation,editor/contributor,descEvent_start,descEvent_end
39,40,"Corpus Sonetos del Siglo de Oro, ed. Borja Navarro Colorado",SonetSiglo,artificial_acronym,https://github.com/bncolorado/CorpusSonetosSigloDeOro,Spanish,,5000,"Vera Maria Charvat:
more than 5000",,,1500–1700,,TEI,tei,"Vera Maria Charvat:
Proposal: TEI XML driven
",metrical patterns,metrical_scheme,"poems, sonnets",lyric,,Monitor Corpus,monitor,,,CC BY-NC 4.0,cc-by-nc-4-0,,https://ride.i-d-e.de/issues/issue-6/corpus-of-spanish-golden-age-sonnets/ ,http://adso.gplsi.es/index.php/en/corpus-of-metre/,,"Proposal: ""Corpus Sonetos del Siglo de Oro, ed. Borja Navarro Colorado (more than 5000 Spanish sonnets, ca. 1500-1700, with metrical annotation)""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
40,41,"TextGrid Repository, including “Digitale Bibliothek”",TextGrid,,https://textgrid.de/digitale-bibliothek,German,,,,,,,,TEI,tei,,,,,,"Vera Maria Charvat:
multigenre/various
",Monitor Corpus,monitor,,,CC BY 3.0 DE,cc-by-3-0-de,,,https://gitlab.gwdg.de/dariah-de/textgrid-digitale-bibliothek,,"Proposal: ""Multi-genre repositories with TEI-encoded texts"" ""TextGrid Repository, including “Digitale Bibliothek” (all texts in TEI)""
Homepage: ""Literatur, Märchen, Geschichte, Kulturgeschichte, Kunst, Musik, Philosophie, Soziologie, Nachschlagewerke""
Commentary: more detailed info might be in the Gitlab-repo","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
41,42,Biblioteca italiana,BibIta,artificial_acronym,http://www.bibliotecaitaliana.it/,Italian,,3523,,,,Middle Ages to the 20th century,,TEI,tei,"Vera Maria Charvat:
many, not all in TEI",,,,,"Vera Maria Charvat:
multigenre:
Commenti, traduzioni…
29
Documenti
167
Letteratura teatrale
171
Lettere ed epistolar…
93
Memorialistica
49
Narrativa
172
Oratoria
37
Poesia
614
Prosa scientifica, m…
6
Testi storici e stor…
81
Traduzioni e volgari…
27
Trattati
471
memorialistica
1
oratoria
",General-Purpose Collection,general,,,,,"Vera Maria Charvat:
only info in German on FAQ page available:
""Kann ich die Texte frei herunterladen?
Ja, aber denken Sie daran, dass sie unter das Urheberrecht fallen: Bei einer öffentlichen Weiterverwendung muss daher die Biblioteca Italiana als Quelle angegeben werden, genau wie bei einem Buch. Jede Form der Weiterverwendung zu kommerziellen Zwecken ist selbstverständlich untersagt.""
",,,,"Proposal: ""Biblioteca italiana, http://www.bibliotecaitaliana.it/ (3523 texts, many of them in TEI)""
Commentary: page only in Italian; focus on Italian literature; 3 collections; info is very well hidden (no direct links, you have to click your way to the relevant information and then translate it); metadata is available in METS, MAG; some files available in TEI P4 (e.g http://www.bibliotecaitaliana.it/scheda/bibit001300)
Homepage (translation from Italian into German with Deepl; http://www.bibliotecaitaliana.it/page/726): ""Textkodierung:
Bibit hat das Kodierungsschema der Text Encoding Initiative (TEI P4), das auf der Syntax der Extensible Markup Language (XML) basiert, als Textkodierungssprache übernommen.
 Angesichts der Breite des TEI-Schemas wurden im Rahmen des Bibit-Projekts mehrere Kodierungsebenen festgelegt, denen ein Text unterworfen werden kann. Derzeit sind alle Texte in der digitalen Bibliothek auf den folgenden Kodierungsebenen:
    Niveau 1: Strukturelle Gliederungen, ausdrückliche Zitate, Betonungen und Abschnitte in anderen Sprachen als der Basissprache des Textes
    Niveau 2: Strukturelle Gliederungen mit expliziten Typangaben, explizite Zitate, Hervorhebungen, Überschriften von zitierten Texten und Abschnitten in anderen Sprachen als der Basissprache des Textes, einfache redaktionelle Eingriffe"" ","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
42,43,Oxford Text Archive,OTA,,https://ota.bodleian.ox.ac.uk/,"Algonquin, Amele, Ancient Greek, Anglo-Norman, Arabic, Bengali, Cameroon Pidgin, Classical Syriac, Croatian, Czech, Danish, Dutch, Egypt Sign Language, English, Esperanto, French, Fulah, Galician, German, Guarequena, Gujarati, Hanga, Hebrew, Hindi, Irigwe, Irish, Italian, Japanese, Jur Modo, Kurdish, Latin, Latvian, Malay, Malayalam, Mandarin Chinese, Middle English, Middle French, Middle High German, Middle Irish, Multiple languages, Nunggubuyu, Official Aramaic, Old English, Old French, Old Frisian, Old High German, Old Norse, Old Provençal, Old Spanish, Orya, Pali, Panjabi, Polish, Portuguese, Romanian, Romany, Russian, Sanskrit, Scots, Scottish Gaelic, Serbian, Serbo-Croatian, Slovenian, Spanish, Sumerian, Swedish, Tamil, Tibetan, Turkish, Urdu, Welsh","Vera Maria Charvat:
25 languages;
HomepageSearch lists 72 items (between brackets: count of documents in corpus):
Algonquin (1)
Amele (1)
Ancient Greek (to 1453) (131)
Anglo-Norman (1)
Arabic (4)
Bengali (1)
Cameroon Pidgin (1)
Classical Syriac (1)
Croatian (1)
Czech (4)
Danish (3)
Dutch (15)
Egypt Sign Language (2)
English (62445)
Esperanto (1)
French (142)
Fulah (4)
Galician (1)
German (38)
Guarequena (1)
Gujarati (1)
Hanga (1)
Hebrew (8)
Hindi (2)
Irigwe (4)
Irish (5)
Italian (42)
Japanese (4)
Jur Modo (1)
Kurdish (1)
Latin (628)
Latvian (1)
Malay (individual language) (1)
Malayalam (1)
Mandarin Chinese (5)
Middle English (1100-1500) (54)
Middle French (ca. 1400-1600) (18)
Middle High German (ca. 1050-1500) (38)
Middle Irish (900-1200) (1)
Multiple languages (5)
No linguistic content (1)
Nunggubuyu (1)
Official Aramaic (700-300 BCE) (2)
Old English (ca. 450-1100) (20)
Old French (842-ca. 1400) (14)
Old Frisian (1)
Old High German (ca. 750-1050) (3)
Old Norse (1)
Old Provençal (to 1500) (4)
Old Spanish (3)
Orya (1)
Pali (1)
Panjabi (1)
Polish (1)
Portuguese (3)
Romanian (1)
Romany (2)
Russian (2)
Sanskrit (7)
Scots (52)
Scottish Gaelic (3)
Serbian (2)
Serbo-Croatian (2)
Slovenian (1)
Spanish (11)
Sumerian (1)
Swedish (5)
Tamil (1)
Tibetan (1)
Turkish (7)
Urdu (1)
Welsh (159)",63854,"Vera Maria Charvat:
Info from Proposal: 209 novels, 350 plays, 64 collections of poetry; 
HomepageSearch lists 63854 items",,,BCE–present,,TEI,tei,"Vera Maria Charvat:
most documents in TEI",,,"multigenre:
novels, plays, poetry","epic, lyric, drama",,General-Purpose Collection,general,,,,,"Vera Maria Charvat:
texts: various licenses
metadata: Creative Commons Licence CC0
",,,,"Proposal: ""Oxford Text Archive, https://ota.bodleian.ox.ac.uk/ (209 novels, 350 plays, 64 collections of poetry; most in TEI)""
Homepage: ""A repository of full-text literary and linguistic resources. Thousands of texts in more than 25 languages.""; ""The Oxford Text Archive (OTA) is a repository of digital literary and linguistic resources for research and teaching. The OTA was created at and remains a part of the University of Oxford. We also offer advice to resource creators about best practice for creating digital resources, and to users of digital resources on how to benefit from existing resources.""
Commentary: founded by Lou Burnard & Susan Hockey; currently under review (nov2021); they provide single entries in DC, via OAI-PMH, use CMDI, BIBTEX, handles, support open data (but also support restricted access data); clear info on licenses; The OTA is a registered CLARIN C Centre, and the repository is based on the CLARIN DSpace platform;
OTA collections can be found via the VLO; records are displayed with their metadata and download possiblilities (HTML, TEI, epub, ?); advanced search: https://ota.bodleian.ox.ac.uk/repository/xmlui/discover?advance ","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
43,44,PHI Latin Texts: Classical Latin Texts. A Resource Prepared by The Packard Humanities Institute,PHI,,https://latin.packhum.org/,Latin,,,,,,,,,,,,,classical latin texts,epic,,General-Purpose Collection,general,,,,,,https://ride.i-d-e.de/issues/issue-8/phi/,,,"Review: “Although technologically obsolete by today’s standards (e. g. TEI/XML are not used), PHI is still one of the most widely
used open access text collections of Roman literature.”
Homepage: ""This website contains essentially all Latin literary texts written before A.D. 200, as well as some texts selected from later antiquity.""","Homepage, Review","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
44,45,Korpus der Literarischen Moderne/Corpus of Literary Modernism,KOLIMO,,https://kolimo.uni-goettingen.de,German,,,,,,,,"TEI, TXT","tei, txt",,POS,pos_tag,,,,based on a Research Question,specialized,,,,,,,https://github.com/ingoboerner/kolimo-schnitzler,for examples see derived corpus: https://github.com/ingoboerner/kolimo-schnitzler,"Homepage (redirected): ""The eXistdb-corpus “KOLIMO” is currently being overhauled for re-launch. It was built at the University of Göttingen 2015-2017.""; ""KOLIMO allows running quantitative profiles of language use. This means essentially “counting stuff at the language surface”. We work with the basic assumption that “style” may be assessed by means of frequency counts of those textual features that are easily distinguishable by the computer: characters, syllables, words, sentences, and so on, combining to measures such as word length, sentence length, type-token ratios, most frequent word lists, etc. Abundant stylometric research shows that this straightforward approach to style is quite fruitful. Of course, any more advanced analysis may start here, including cluster analysis of text-similarity based on most frequent word counts (e.g., delta), or entropy measures of lexical variation. Anything goes, as long as we have a hold on the discrete enties that make up the texts (characters, strings etc.).""
combines texts taken from DTA, Textgrid, Project Gutenberg + Metadata""; ""KOLIMO is made available under a Creative Commons license, in line with the licenses of the source repositories. The texts from TextGrid are available under a CC-BY attribution license (see textgrid digitale bibliothek ). However, the Deutsches Textarchiv documents are made available under a CC BY-NC 3.0 license (non-commercial, see creative commons), meaning that commercial use of those texts is prohibited (see nutzungsbedigungen dta ). Gutenberg-DE documents are made available in a way that we understand as a CC-BY-NC-SA license (non-commercial, share alike, see creative commons), meaning that commercial use of those texts is prohibited, and remixing, transformation, or building upon the material only if using the same license as the original. When using the corpus, please ensure to cite the sources of the texts as required by the distinct statements, and give credit to the KOLIMO team listed below, for doing the text compilation, annotation, and working on the metadata""","Homepage, personal information from Ingo Boerner","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
45,46,Deutsches Lyrik Korpus/German Poetry Corpus,DLK,,https://github.com/tnhaider/DLK,German,,75141,,17335638,"Vera Maria Charvat:
TGRID 'Verse': 16,049,526
DTA: 'Lyrik': 2,986,912
DLK v5: 17,335,638
",,,"TEI (P5), JSON","tei_p5, json",,,,poems,lyric,,Monitor Corpus,monitor,,,,,,,,,"Commentary: lots of info in the github readme, needs to be filtered; corpus ca be downloaded in .zip files; compiled from Textgrid and DTA; Some digital research on poetry based on this corpus, see https://www.aesthetics.mpg.de/institut/mitarbeiterinnen/thomas-haider.html;; Especially: https://arxiv.org/abs/2102.08858; Lines + minimal metadata in a JSON object / python dictionary",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
46,47,Scottish Corpus of Texts & Speech,SCOTS,,https://www.scottishcorpus.ac.uk/,Scottish,,1316,,4587602,"Vera Maria Charvat:
4.6 million words of text / 4,587,602 total words",1945–today,,,,,"Homepage ""not grammatically annotated. Some mark-up is used in transcriptions of spoken material""",,,,,General-Purpose Collection,general,,,,,,,,,"Homepage: ""The Scottish Corpora project has created large electronic corpora of written and spoken texts for the languages of Scotland. The Scottish Corpus of Texts & Speech (SCOTS) has been online since November 2004, and, after a number of updates and additions, has reached a total of nearly 4.6 million words of text, with audio recordings to accompany many of the spoken texts. A sister resource, the Corpus of Modern Scottish Writing, was launched in 2010, and now comprises 5.4 million words of written text with accompanying images.""; ""Search criteria ""General, spoken written""
Commentary: They offer an advanced search and some analysis tools: https://www.scottishcorpus.ac.uk/advanced-search/ 
https://www.scottishcorpus.ac.uk/tools/",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
47,48,The Corpus of Modern Scottish Writing,CMSW,,https://www.scottishcorpus.ac.uk/cmsw/,Scottish,,356,,5434830,"Vera Maria Charvat:
5.5 million words / 5,434,830 total tokens
",1700–1945,,TXT,txt,,,,"""Administrative prose, expository prose, personal writing, instructional prose, religious prose, verse/drama, imaginative prose, journalism, orthoepists""","epic, drama, lyric",,General-Purpose Collection,general,,,,,,,https://www.scottishcorpus.ac.uk/cmsw/download-corpus ,download entire corpus as plain text https://www.scottishcorpus.ac.uk/cmsw/download-corpus ,"Homepage: ""The Corpus of Modern Scottish Writing (CMSW) is an electronic corpus of written and printed texts from the period 1700-1945, complementing the Helsinki Corpus of Older Scots (1450-1700) and the Scottish Corpus of Texts & Speech (1945-present day).""; ""147,129 total types; 5434830 total tokens""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
48,49,Corpus Resource Database,CorD,,https://varieng.helsinki.fi/CoRD/corpora/index.html,,,,,,,,,,,,,,,,,diverse,,,,,,,,,,"Commentary: it is a database/list of corpora; ""CoRD provides descriptions of a large number of corpora, subcorpora and databases. Many more are forthcoming and we encourage all compilers of English language corpora to submit a description.""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
49,50,Austrian Books Online,ABO,,https://onb.ac.at/digitaler-lesesaal/austrian-books-online-abo,,,,,,,1880–today,,,,,,,,,,General-Purpose Collection,general,,,,,,,https://search.onb.ac.at/primo-explore/search?query=&tab=onb_fulltext&search_scope=ONB_aleph_abo&vid=ONB,,"Homepage (DE): ""Im Rahmen einer Public Private Partnership mit Google hat die Österreichische Nationalbibliothek seit 2011 insgesamt rund 600.000 urheberrechtsfreie Werke mit insgesamt 200 Millionen Seiten digitalisiert, darunter auch jene 200.000 Bücher, die sich im Prunksaal befinden. Damit sind alle digitalisierten Bücher erstmals vollständig und kostenlos zugänglich, können im Volltext durchsucht oder auch als PDF heruntergeladen werden. Diese erfolgreiche Zusammenarbeit mit Google wird nun fortgesetzt: Ab 2019 werden jene Jahrgänge historischer Werke digitalisiert und online gestellt, bei denen mittlerweile das Urheberrecht erloschen ist. Die „moving wall“, bis zu der digitalisiert wird, liegt derzeit beim Erscheinungsjahr 1880 und wird jährlich um ein Jahr verschoben; der große Sicherheitsabstand von 140 Jahren setzt sich aus der urheberrechtlichen Schutzfrist von 70 Jahren nach dem Tod der AutorInnen und 70 Lebensjahren ab Erscheinen ihrer Werke zusammen: Dadurch ist gewährleistet, dass selbst dann kein urheberrechtlich geschütztes Buch digitalisiert wird, wenn die AutorInnen zum Zeitpunkt der Veröffentlichung noch sehr jung waren und lange gelebt haben.""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
50,51,1-Satz-Korpus,1SatzCor,artificial_acronym,https://github.com/satzomat/corpus,German,,,,,,,,"TEI, CSV, TXT","tei, csv, txt",,,,"""Novellen, Romane, Maerchen""",epic,,Based on a Research Question,specialized,,,,,,,,,,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
51,52,Historisches Textkorpus,HistCor,artificial_acronym,https://www.ids-mannheim.de/lexik/abgeschlosseneprojekte/historischeskorpus/,German,,,,45000000,"Vera Maria Charvat:
""45 Millionen laufende Wörter""
",1700–1918,,TEI ,tei,"Vera Maria Charvat:
(many documents in TEI, not all)",,,"""drama, humanities, legal texts, letters, narrative prose, historical newspapers, scientific texts, sermons, fairy tales, sagas,  ...""","epic, drama",,Reference Corpus,reference,,,,,"Vera Maria Charvat:
""Aus urheberrechtlichen Gründen kann derzeit nur eine eingeschränkte Auswahl der Texte im Internet zur Recherche mittels COSMAS II angeboten werden.""
",,https://www2.ids-mannheim.de/cosmas2/ ,searchable via: https://www2.ids-mannheim.de/cosmas2/,"Homepage (DE: ""zwei Querschnittskorpora mit Texten der Sach- und Gebrauchsliteratur (z.B. Wörterbuch- und Lexikonartikel, Zeitungen und Zeitschriften, wissenschaftliche Texte, Gesetzestexte) und drei Korpora mit Textsammlungen aus der Reihe „Digitale Bibliothek“: Deutsche Literatur von Lessing bis Kafka (DB 1), Philosophie von Platon bis Nietzsche (DB 2), Deutsche Literatur von Frauen (DB 45). [...] Teilkorpora die Sagen, Kinder- und Hausmärchen der Brüder Grimm, Goethes Werke und die Marx-Engels-Gesamtausgabe.""
contains the ""GerManC"": https://www.ids-mannheim.de/fileadmin/lexik/uwv/dateien/GerManC_Documentation.pdf ",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
52,53,Text Creation Partnership,TCP,,https://textcreationpartnership.org/,English,"Susanne Zhanial:
primarily English, but 18th century collection also contains ""foreing-language works""",73000,,NaN ,"Vera Maria Charvat:
""more than a billion words""
",,"Vera Maria Charvat:
Homepage lists ""Early English Books Online, Eighteenth Century Collections Online, Evans Early American Imprints""","TCP (TEI P4) XML, SGML, TEI (P5)","tei_p4, xml, sgml, tei_p5",,,,,,,General-Purpose Collection,general,,,,,,,"https://www.dropbox.com/sh/inyy253jvytoxcu/AAAT9nMPo0sa5aXEgs5SC5aGa?dl=0, EEBO: https://www.dropbox.com/sh/pfx619wnjdck2lj/AAAeQjd_dv29oPymNoKJWfEYa?dl=0, ECCO: https://www.dropbox.com/sh/inhwjphw682i2gf/AAC8NixNye8Gp0smYBTly2Y9a?dl=0","Evans: https://www.dropbox.com/sh/inyy253jvytoxcu/AAAT9nMPo0sa5aXEgs5SC5aGa?dl=0, EEBO: https://www.dropbox.com/sh/pfx619wnjdck2lj/AAAeQjd_dv29oPymNoKJWfEYa?dl=0, ECCO: https://www.dropbox.com/sh/inhwjphw682i2gf/AAC8NixNye8Gp0smYBTly2Y9a?dl=0","Commentary: TCP hosts four collections (Early English Books Online, Navigations, Eighteenth Century Collection, and Evans Early American Imprints); every collection has its own site; Navigations collections also has a Github repository (https://github.com/Text-Creation-Partnership/EEBO-TCP-Collections-Navigations)",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
53,54,Project Gutenberg,PG,artificial_acronym,https://www.gutenberg.org/,,,60000,"Susanne Zhanial:
""over 60,000""",,,,,"TXT, HTML, EPUB, MOBI, LaTeX","txt, html, epub, mobi, latex","Vera Maria Charvat:
TXT, HTML (master formats), epub, mobi, sometimes LaTeX, prefer open and editable formats
--> https://www.gutenberg.org/help/file_formats.html
",,,"""literary works and reference items of historical significance""; also audio books,music, pictures",epic,,General-Purpose Collection,general,,,,,"Vera Maria Charvat:
""Project Gutenberg eBooks may be freely used in the United States because most are not protected by U.S. copyright law. They may not be free of copyright in other countries. Readers outside of the United States must check the copyright terms of their countries before accessing, downloading or redistributing eBooks. We also have a number of copyrighted titles, for which the copyright holder has given permission for unlimited non-commercial worldwide use. The Project Gutenberg website is for human users only. Use of automated tools to access the website may trigger a block of your access.""
",,https://www.gutenberg.org/ebooks/offline_catalogs.html,machine-read able (offline) catalogue: https://www.gutenberg.org/ebooks/offline_catalogs.html,,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
54,55,Project Gutenberg Australia,PGAus,artificial_acronym,https://gutenberg.net.au/,English,,5000,,,,,,"TXT, HTML, EPUB, MOBI","txt, html, epub, mobi",,,,,,,General-Purpose Collection,general,,,,,"Vera Maria Charvat:
ebooks on this site are in the public domain in Australia
",,https://gutenberg.net.au/gutindex_aus.txt,Index: https://gutenberg.net.au/gutindex_aus.txt,Commentary: no new ebooks are added to the collection,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
55,56,Projekt Gutenberg-DE,PGGer,artificial_acronym,https://www.projekt-gutenberg.org/,Deutsch,,10000,,,,,,"TXT, HTML, EPUB, MOBI","txt, html, epub, mobi",,,,,,,General-Purpose Collection,general,,,,,"Vera Maria Charvat:
ebooks in the public domain, for private use, for commercial use - please get in touch for license
",,,,"Homepage (DE): ""weltweit größte deutschsprachige Volltext-Literatursammlung""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
56,57,txtlab Multilingual Novels,txtlab,artificial_acronym,https://figshare.com/articles/dataset/txtlab_Novel450/2062002/3,"German, French, English",,450,,,,1170 –1930,,TXT,txt,,,,novels,epic,,Based on a Research Question,specialized,,,CC BY-4.0,cc-by-4-0,,,https://figshare.com/ndownloader/files/3686778,Download link: https://figshare.com/ndownloader/files/3686778,Commentary: designed for use in teaching and research,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
57,58,LINHD POSTDATA Project,LINDH,,https://github.com/linhd-postdata,"Spanish, French, German, Italian, Latin, Dutch, Portuguese",,,,,,,,"TXT, XML, TEI, HTML","txt, xml, tei, html",,"partly metrics, rhyme, entities","rhyme_scheme, metrical_scheme, named_entity",poetry,lyric,,Monitor Corpus,monitor,,,,,,,https://postdata.linhd.uned.es/,,"Commentary/Homepage: project aimed at ""Making poetry available online as machine-readable data will open a great world of possibilities of linking, indexing and extracting new information.""
approx. 4 millionen verse lines, regarding to: https://postdata.linhd.uned.es/corpus-y-datasets/",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
58,59,Biblioteka Maksima Moshkova ,LibRu,artificial_acronym,http://lib.ru/,,,,,,,,,,,,,,,,,General-Purpose Collection,general,,,,,,,,,Commentary: only available in Russian,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
59,60,Internet Biblioteka Alekseia Komarova ,ILibRu,artificial_acronym,https://ilibrary.ru/,,,,,,,,,,,,,,,,,General-Purpose Collection,general,,,,,,,,,Commentary: only available in Russian,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
60,61,Russkaia virtual’naia Biblioteka ,RVB,artificial_acronym,https://rvb.ru/,,,,,,,,,,,,,,,,,General-Purpose Collection,general,,,,,,,,,Commentary: only available in Russian,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
61,62,Fundamental’naia elektronnaia biblioteka „Russkaia literatura i fol’klor“,FEB,,http://www.feb-web.ru/,,,,,,,11th century to 20th century,,,,,,,"literature, folklore, dictionaries, encyclopedias, Russian scholarship",epic,,General-Purpose Collection,general,,,,,,,,,Commentary: only available in Russian,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
62,63,HathiTrust Digital Library,HATHI,artificial_acronym,https://www.hathitrust.org/,,"Susanne Zhanial:
Advanced search: over 30 languages",17000000,"Vera Maria Charvat:
17 million items; collection of millions of titles digitized from libraries around the world",,,,,"PDF, EPUB, TXT, ZIP, JPG","pdf, epub, txt, zip, jpeg",,,,,,,General-Purpose Collection,general,https://www.hathitrust.org/data,Vera Maria Charvat: various APIs available,,,,,,,Commentary: download of books and creation of collections possible with institutional login,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
63,64,“To be continued . . .”: The Australian Newspaper Fiction Database,TBC,artificial_acronym,http://cdhrdatasys.anu.edu.au/tobecontinued,English,,21000,,,,19th and early 20th century,,,,,,,"fiction (novels, novellas, short stories)",epic,,Monitor Corpus,monitor,,,CC BY 4.0,cc-by-4-0,,,,,Commentary: links to TROVE for newspaper scans: https://trove.nla.gov.au/; corpus download as zip file,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
64,65,Biblioteca Virtual Miguel de Cervantes ,Cervantes,artificial_acronym,http://www.cervantesvirtual.com/,"Spanish, English",,,,,,,,"EPUB, PDF, MARC21, HTML","epub, pdf, marc21, html",,,,"literature, language, history, letters",epic,,General-Purpose Collection,general,,,,,,,https://data.cervantesvirtual.com/?_ga=2.19868668.55021663.1655726653-1879338039.1655467666,,Commentary: corpus downloads available,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
65,66,Europeana,Europeana,artificial_acronym,https://www.europeana.eu/de ,,"Vera Maria Charvat:
38 languages - information derived from search catalogue",22559106,"Vera Maria Charvat:
30.230.563 (images)
22.559.106 (texts)
770.724 (audio)
337.580 (video)
8.397 (3D)",,,,,,,"Vera Maria Charvat:
Text, video, audio, images, 3D",,,,,"Vera Maria Charvat:
various/multigenre",General-Purpose Collection,general,https://pro.europeana.eu/page/apis ,,"Creative Commons CC0 1.0 Universal Public Domain Dedication, EUPL v1.2. License","cc0-1-0, eupl-1-2",,,https://github.com/europeana/,,"Homepage: ""cultural heritage material from over 4,000 different institutions""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
66,67,Polona,Polona,artificial_acronym,https://polona.pl/ ,,"Vera Maria Charvat:
85 languages - information derived from search catalogue",3667722,,,,,,"XML RDF, JPEG, PDF, ZIP","xml, rdf, jpeg, pdf, zip",,,,"books, periodicals, maps and atlases, ephemera, photographs, prints and drawings, manuscripts, postcards and musical scores",epic,,General-Purpose Collection,general,,,,,"Vera Maria Charvat:
Public, copyright publication (only accessible in library), available with permission
",,,,Commentary: corpus partly available for download,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
67,68,Gallica,Gallica,artificial_acronym,https://gallica.bnf.fr,"French, Spanish, English, German, Portuguese, Latin, Greek, Romanian, Romansh, ",,9004194,"Susanne Zhanial:
https://gallica.bnf.fr/GallicaEnChiffres
",,,,,"TXT, EPUB, XML, PDF, JPEG","txt, epub, xml, pdf, jpeg",,,,"books, manuscripts, images, maps, newspapers, audio, music, video, objects",epic,,General-Purpose Collection,general,,,,,,,,,"Commentary: The Bibliothèque nationale de France offers a Gallica iOS and Android application, can be downloaded for free",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
68,69,DIKDA - Písomné kultúrne dedičstvo Slovenska ,DIKDA,,https://dikda.eu/,,"Vera Maria Charvat:
50 languages - see: https://onk.snk.sk/browse?accessibility=public&sort=occurrence&category=languages",28244,"Susanne Zhanial:
search catalogue - document types: https://onk.snk.sk/browse
",,,,,,,,,,written documents,,,General-Purpose Collection,general,,,,,,,,,Homepage (translated from Slovak): The Digital Library and Digital Archive (DIKDA) was the largest digitisation project in Slovakia and its scope was unique in the context of the European region. It was successfully implemented by the Slovak National Library between 2012 and 2015. Its aim was the high-quality mass digitisation of library and archive collections and the preservation of written cultural heritage (paper) from inevitable degradation. ,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
69,70,Zlatý Fond SME,SME,,https://zlatyfond.sme.sk/autori#U,Slovak,,,,,,800 to present,"Susanne Zhanial:
https://zlatyfond.sme.sk/chronologia",,,"Susanne Zhanial:
zfProof and zFEdit",,,Slovak literature,,,General-Purpose Collection,general,,,,,,,,,Commentary: people can help edit works (zfedit),Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
